,sentence_index,sentence_original,clause,term,opinion,category,polarity,polarity_score
227,437,i ll say it again friendly host,friendly host,host,friendly,Service,Positive,0.9331
228,438,very good,very good,,very good,Experience,Positive,0.9977
229,457,nothing everything was great,nothing everything was great,,great,Experience,Positive,0.8729
230,459,top living room,top living room,living room,top,Facility,Neutral,0.8862
231,460,the room is very clean with all the accessories kitchen utensils washing machine tv with netflix and a fantastic view on the eighth floor,the room is very clean,room,very clean,Facility,Positive,0.9973
232,460,the room is very clean with all the accessories kitchen utensils washing machine tv with netflix and a fantastic view on the eighth floor,with all the accessories,room,with all the accessories,Facility,Positive,0.9963
233,460,the room is very clean with all the accessories kitchen utensils washing machine tv with netflix and a fantastic view on the eighth floor,kitchen utensils,kitchen utensils,,Facility,Neutral,0.9828
234,460,the room is very clean with all the accessories kitchen utensils washing machine tv with netflix and a fantastic view on the eighth floor,washing machine,washing machine,,Facility,Neutral,0.9695
235,460,the room is very clean with all the accessories kitchen utensils washing machine tv with netflix and a fantastic view on the eighth floor,tv with netflix,tv,with netflix,Service,Positive,0.9818
236,460,the room is very clean with all the accessories kitchen utensils washing machine tv with netflix and a fantastic view on the eighth floor,and a fantastic view on the eighth floor,view,fantastic,Experience,Positive,0.9824
237,463,very good,very good,,very good,Experience,Positive,0.9977
238,469,it s perfect,it s perfect,it,perfect,Branding,Positive,0.9964
239,473,ani nev m kde za t toto ubytov n bylo jednozna n nejlep ze v ech kter jsem b hem sv t m m s n cesty po jihov chodn asii nav t vil,ani nev m kde za t toto ubytov n bylo jednozna n nejlep ze v ech kter jsem b hem sv t m m s n cesty po jihov chodn asii nav t vil,ubytov,,Facility,Positive,0.6062
240,480,pat e se m ete kochat asn m v hledem na velkou st ho chi minova m sta,pat e se m ete kochat asn m v hledem na velkou st ho chi minova m sta,,,Facility,Positive,0.8669
241,483,nem m co bych dinymu a jeho apartm nu vytkl,nem m co bych dinymu a jeho apartm nu vytkl,,,Facility,Negative,0.951
242,484,pokud hled te ubytov n v ho chi minov m st nev hejte ani minutu toto ubytov n v s rozhodn nezklame,pokud hled te ubytov n v ho chi minov m st nev hejte ani minutu toto ubytov n v s rozhodn nezklame,,,Facility,Positive,0.5342
243,485,d kuji za v e d ky,d kuji za v e d ky,,,Branding,Positive,0.5339
244,489,i m not complaining,i m not complaining,,not complaining,Experience,Positive,0.9219
245,490,very good,very good,,very good,Experience,Positive,0.9977
246,492,very good for one night see more because very well equipped,very good for one night see more because very well equipped,,"very good, very well equipped",Facility,Positive,0.9937
247,493,the reception and the pool,the reception and the pool,"reception,pool",,Facility,Neutral,0.9721
0,3,it s near the subway station it s easy to get to the castle,it s near the subway station,,near,Amenity,Neutral,0.5833
1,3,it s near the subway station it s easy to get to the castle,it s easy to get to the castle,,easy to get,Amenity,Positive,0.9779
2,5,no you didn t,no you didn t,,no,Experience,Negative,0.584
3,6,very good,very good,,very good,Experience,Positive,0.9977
4,8,that s great,that s great,,great,Experience,Positive,0.9853
5,10,the apartment is spacious and clean,the apartment is spacious and clean,apartment,"spacious, clean",Facility,Positive,0.9974
6,11,i m not doing anything,i m not doing anything,,not doing anything,Experience,Neutral,0.5844
7,12,very good,very good,,very good,Experience,Positive,0.9977
8,13,the house is fully equipped,the house is fully equipped,house,fully equipped,Facility,Positive,0.9966
9,14,there s a washing machine a clothes dryer a hair dryer a sewing machine,there s a washing machine,washing machine,,Facility,Neutral,0.9749
10,14,there s a washing machine a clothes dryer a hair dryer a sewing machine,a clothes dryer,clothes dryer,,Facility,Neutral,0.8905
11,14,there s a washing machine a clothes dryer a hair dryer a sewing machine,a hair dryer,hair dryer,,Facility,Neutral,0.8447
12,14,there s a washing machine a clothes dryer a hair dryer a sewing machine,a sewing machine,sewing machine,,Facility,Neutral,0.94
13,15,mr dinh has been supporting his family for the past two days,mr dinh has been supporting his family for the past two days,,supporting,Service,Neutral,0.7693
14,16,the location of the apartment is quite nice and the living space is comfortable,the location of the apartment is quite nice,location,quite nice,Amenity,Positive,0.9921
15,16,the location of the apartment is quite nice and the living space is comfortable,the living space is comfortable,living space,comfortable,Facility,Positive,0.9946
16,17,very good,very good,,very good,Experience,Positive,0.9977
17,19,that s very interesting,that s very interesting,,very interesting,Experience,Positive,0.9941
18,20,clean will full furnishings your master is very enthusiastic,clean will full furnishings your master is very enthusiastic,master,enthusiastic,Service,Positive,0.9963
19,21,no you didn t,no you didn t,,no,Experience,Negative,0.584
20,23,we ve got all the equipment we need,we ve got all the equipment we need,equipment,got all the equipment we need,Facility,Positive,0.9784
21,25,you re an enthusiastic sweet owner,you re an enthusiastic sweet owner,owner,sweet,Service,Positive,0.9956
22,26,like the other rooms here it s a bit old but it s very well used,like the other rooms here it s a bit old,room,a bit old,Facility,Neutral,0.6202
23,26,like the other rooms here it s a bit old but it s very well used,it s very well used,room,well used,Branding,Positive,0.9834
24,27,the apartment neat clean,the apartment neat clean,apartment,"neat, clean",Facility,Positive,0.9985
25,28,room s good compared to the neighborhood,room s good compared to the neighborhood,room,good,Facility,Positive,0.9945
26,30,nice,nice,,nice,Experience,Positive,0.9951
27,31,very good,very good,,very good,Experience,Positive,0.9977
28,32,the owner is very considerate,the owner is very considerate,owner,very considerate,Service,Positive,0.9884
29,33,very good,very good,,very good,Experience,Positive,0.9977
30,34,the lounge is clean,the lounge is clean,lounge,clean,Facility,Positive,0.9749
31,36,the staff is very enthusiastic supportive all the time everywhere,the staff is very enthusiastic,staff,very enthusiastic,Service,Positive,0.9904
32,36,the staff is very enthusiastic supportive all the time everywhere,the staff is very supportive,staff,very supportive,Service,Positive,0.9916
33,36,the staff is very enthusiastic supportive all the time everywhere,the staff is very enthusiastic supportive all the time,staff,very enthusiastic supportive all the time,Service,Positive,0.9981
34,36,the staff is very enthusiastic supportive all the time everywhere,the staff is very enthusiastic supportive all the time everywhere,staff,very enthusiastic supportive all the time everywhere,Service,Positive,0.9981
35,37,i ll be back if i get the chance,i ll be back if i get the chance,,back,Loyalty,Positive,0.8648
36,40,very good,very good,,very good,Experience,Positive,0.9977
37,41,diny was very kind and helpful all the time,diny was very kind,,very kind,Service,Positive,0.9831
38,41,diny was very kind and helpful all the time,diny was very helpful,,very helpful,Service,Positive,0.9824
39,41,diny was very kind and helpful all the time,diny was helpful all the time,,helpful all the time,Service,Positive,0.9836
40,42,the room has an incredible view over hcmc and it is located 5 mins away from landmark 81 which is must see,the room has an incredible view over hcmc,room,incredible view,Experience,Positive,0.96
41,42,the room has an incredible view over hcmc and it is located 5 mins away from landmark 81 which is must see,it is located 5 mins away from landmark 81,room,,Amenity,Neutral,0.788
42,42,the room has an incredible view over hcmc and it is located 5 mins away from landmark 81 which is must see,landmark 81 which is must see,landmark 81,must see,Amenity,Positive,0.9959
43,45,diny thank you and see you again,diny thank you and see you again,,thank you and see you again,Service,Positive,0.9751
44,48,diny was really helpful he gave us many tips and helped us with departure,diny was really helpful,,really helpful,Service,Positive,0.9781
45,48,diny was really helpful he gave us many tips and helped us with departure,he gave us many tips,,gave us many tips,Service,Positive,0.9927
46,48,diny was really helpful he gave us many tips and helped us with departure,helped us with departure,,helped,Service,Positive,0.7567
47,49,i can definitely recommend it,i can definitely recommend it,,definitely recommend,Loyalty,Positive,0.9929
48,50,perfect place to stay with your family,perfect place to stay with your family,place,perfect,Branding,Positive,0.9956
49,51,everything was as we wished for a host who looked after us the place and its location and its facilities,everything was as we wished for,,as we wished for,Experience,Positive,0.9678
50,51,everything was as we wished for a host who looked after us the place and its location and its facilities,a host who looked after us,host,look after us,Service,Positive,0.9679
51,51,everything was as we wished for a host who looked after us the place and its location and its facilities,the place and its location,"place,location",,Branding,Neutral,0.8721
52,51,everything was as we wished for a host who looked after us the place and its location and its facilities,its facilities,facilities,,Facility,Neutral,0.5301
53,53,the sofa which was our second bed needs to be replaced it is quite dated and extremely uncomfortable to sleep on,the sofa which was our second bed needs to be replaced,sofa,needs to be replaced,Facility,Negative,0.5593
54,53,the sofa which was our second bed needs to be replaced it is quite dated and extremely uncomfortable to sleep on,it is quite dated and extremely uncomfortable to sleep on,sofa,uncomfortable,Facility,Negative,0.9612
55,55,nice place with a beautiful view and equipped with all what you need,nice place with a beautiful view,"place,view","nice, beautiful",Branding,Positive,0.9941
56,55,nice place with a beautiful view and equipped with all what you need,equipped with all what you need,,equipped,Facility,Positive,0.9943
57,57,the rooftop pool is a nice extra,the rooftop pool is a nice extra,rooftop pool,nice,Facility,Positive,0.9873
58,59,would definitely come back again,would definitely come back again,,definitely come back,Loyalty,Positive,0.9918
59,60,the place is a bit more outside the center and the metro stations are quite difficult to reach or to leave if you don t want to use vehicles,the place is a bit more outside the center,place,outside the center,Amenity,Neutral,0.4081
60,60,the place is a bit more outside the center and the metro stations are quite difficult to reach or to leave if you don t want to use vehicles,the metro stations are quite difficult to reach,metro stations,difficult to reach,Amenity,Negative,0.9899
61,60,the place is a bit more outside the center and the metro stations are quite difficult to reach or to leave if you don t want to use vehicles,the metro stations are quite difficult to leave if you don t want to use vehicles,metro stations,difficult to leave,Amenity,Negative,0.9706
62,61,so i would still use taxi s even if they are not as cheap as the metro,so i would still use taxi s even if they are not as cheap as the metro,taxi,not as cheap,Amenity,Negative,0.6425
63,62,that s great,that s great,,great,Experience,Positive,0.9853
64,65,the apartment is well equipped and comfortable with a beautiful city view we stayed on the 21st floor and access to a swimming pool on the 25th floor,the apartment is well equipped and comfortable,apartment,"well equipped, comfortable",Facility,Positive,0.9972
65,65,the apartment is well equipped and comfortable with a beautiful city view we stayed on the 21st floor and access to a swimming pool on the 25th floor,with a beautiful city view,view,beautiful,Experience,Positive,0.9673
66,65,the apartment is well equipped and comfortable with a beautiful city view we stayed on the 21st floor and access to a swimming pool on the 25th floor,we stayed on the 21st floor,floor,stayed on,Experience,Neutral,0.5862
67,65,the apartment is well equipped and comfortable with a beautiful city view we stayed on the 21st floor and access to a swimming pool on the 25th floor,and access to a swimming pool on the 25th floor,swimming pool,access,Experience,Neutral,0.9471
68,67,we were very satisfied with our stay and would love to come back,we were very satisfied with our stay,stay,very satisfied,Experience,Positive,0.9957
69,67,we were very satisfied with our stay and would love to come back,would love to come back,stay,love to come back,Loyalty,Positive,0.9839
70,68,i m not doing anything,i m not doing anything,,not doing anything,Experience,Neutral,0.5844
71,69,very good,very good,,very good,Experience,Positive,0.9977
72,71,if you want to experience true vietnamese local street food then this is in a great area,if you want to experience true vietnamese local street food then this is in a great area,area,great,Amenity,Positive,0.9477
73,74,apartment was nice good air con comfortable bed big shower cubicle all very clean and tidy,apartment was nice good air con comfortable bed big shower cubicle all very clean and tidy,apartment,"nice, good, comfortable, big, clean, tidy",Facility,Positive,0.9978
74,76,kitchen we didn t use as we ate out everyday but was clean and presentable,kitchen we didn t use as we ate out everyday,kitchen,we didn t use,Facility,Neutral,0.6457
75,76,kitchen we didn t use as we ate out everyday but was clean and presentable,was clean and presentable,kitchen,"clean, presentable",Facility,Positive,0.996
76,77,swimming pool was big enough to do a few lengths in with privacy at the top,swimming pool was big enough to do a few lengths in,pool,big enough to do a few lengths in,Facility,Positive,0.7136
77,77,swimming pool was big enough to do a few lengths in with privacy at the top,privacy at the top,privacy,top,Amenity,Positive,0.969
78,78,no one can see into the pool area from above,no one can see into the pool area from above,pool area,no one can see,Facility,Positive,0.4529
79,80,all in all it was great would use again,all in all it was great,,great,Experience,Positive,0.9949
80,80,all in all it was great would use again,would use again,,would use again,Loyalty,Positive,0.9826
81,84,the host diny is honestly the most helpful guy you will ever meet he helped us with anything we asked,the host diny is honestly the most helpful guy you will ever meet,host,"honestly, most helpful",Service,Positive,0.9507
82,84,the host diny is honestly the most helpful guy you will ever meet he helped us with anything we asked,he helped us with anything we asked,host,helped us,Service,Positive,0.9934
83,85,we would recommend him and this accomodation to anyone,we would recommend him,,recommend,Loyalty,Positive,0.9888
84,85,we would recommend him and this accomodation to anyone,this accomodation,,,Amenity,Neutral,0.8053
85,85,we would recommend him and this accomodation to anyone,to anyone,,anyone,Service,Neutral,0.9103
86,86,hope to stay again in the future thank you diny,hope to stay again in the future,,stay again,Loyalty,Positive,0.9721
87,86,hope to stay again in the future thank you diny,thank you diny,,thank you,Service,Positive,0.9274
88,88,great stay,great stay,stay,great,Experience,Positive,0.995
89,90,decorated the room for us which was nice and the pool on the top had a fantastic view,decorated the room for us which was nice,room,nice,Facility,Positive,0.9843
90,90,decorated the room for us which was nice and the pool on the top had a fantastic view,the pool on the top had a fantastic view,pool,fantastic view,Facility,Positive,0.9537
91,91,i m not doing anything,i m not doing anything,,not doing anything,Experience,Neutral,0.5844
92,92,very good,very good,,very good,Experience,Positive,0.9977
93,93,host was very responsive and kind to let me check in early,host was very responsive,host,very responsive,Service,Positive,0.9941
94,93,host was very responsive and kind to let me check in early,host was kind to let me check in early,,kind,Service,Positive,0.966
95,94,it was very clean had a great view and a very nice pool,it was very clean,pool,very clean,Facility,Positive,0.9962
96,94,it was very clean had a great view and a very nice pool,had a great view,view,great,Experience,Positive,0.989
97,94,it was very clean had a great view and a very nice pool,a very nice pool,pool,very nice,Facility,Positive,0.9925
98,95,a lot of food options around and 2 stores inside the building,a lot of food options around,food options,a lot,Service,Positive,0.8964
99,95,a lot of food options around and 2 stores inside the building,2 stores inside the building,stores,,Amenity,Neutral,0.9806
100,96,excellent apartment and host,excellent apartment,apartment,excellent,Branding,Positive,0.9886
101,96,excellent apartment and host,host,host,excellent,Service,Neutral,0.9148
102,98,the opera house war remnants museum and the post office were about a 40 minute walk,the opera house war remnants museum and the post office were about a 40 minute walk,"museum,post office",,Amenity,Negative,0.5827
103,99,the host was really attentive met us at the apartment even though we were 5 hours delayed walked us up to the room to show us the facilities,the host was really attentive,host,attentive,Service,Positive,0.9957
104,99,the host was really attentive met us at the apartment even though we were 5 hours delayed walked us up to the room to show us the facilities,met us at the apartment,host,,Service,Positive,0.8282
105,99,the host was really attentive met us at the apartment even though we were 5 hours delayed walked us up to the room to show us the facilities,even though we were 5 hours delayed,,delayed,Service,Negative,0.9436
106,99,the host was really attentive met us at the apartment even though we were 5 hours delayed walked us up to the room to show us the facilities,walked us up to the room to show us the facilities,"host,facilities",,Service,Positive,0.9281
107,100,he even sent me a whatsapp with local food and drink places,he even sent me a whatsapp with local food and drink places,,sent,Service,Neutral,0.8138
108,102,as did the pool it was a good place to cool down on hot days even though it is in the shade,as did the pool,pool,,Facility,Neutral,0.5483
109,102,as did the pool it was a good place to cool down on hot days even though it is in the shade,it was a good place to cool down on hot days,place,good,Branding,Positive,0.9752
110,102,as did the pool it was a good place to cool down on hot days even though it is in the shade,even though it is in the shade,place,in the shade,Amenity,Positive,0.6437
111,103,i highly recommend this apartment and the host,i highly recommend this apartment and the host,"apartment,host",highly recommend,Loyalty,Positive,0.9968
112,104,all was excellent and we would book again if we were to go to ho chi minh in the future,all was excellent and we would book again if we were to go to ho chi minh in the future,,"excellent,again",Loyalty,Positive,0.9807
113,105,we thought the bed was so hard even gave me a number hip in the night and the pillows too,we thought the bed was so hard,bed,hard,Facility,Negative,0.942
114,105,we thought the bed was so hard even gave me a number hip in the night and the pillows too,even gave me a number hip in the night,bed,gave me a number hip,Facility,Negative,0.7788
115,105,we thought the bed was so hard even gave me a number hip in the night and the pillows too,the pillows too,pillows,hard,Facility,Negative,0.5086
116,106,ended up sleeping with a cushion from the sofa,ended up sleeping with a cushion from the sofa,sofa,sleeping with a cushion,Experience,Negative,0.5306
117,107,apart from that all was good,apart from that,,,Experience,Neutral,0.496
118,107,apart from that all was good,all was good,,good,Experience,Positive,0.7708
119,108,very helpful host,very helpful host,host,very helpful,Service,Positive,0.9233
120,110,diny was extremely helpful and gave great recommendations for food shopping and let us leave our bags after check out,diny was extremely helpful,,extremely helpful,Service,Positive,0.985
121,110,diny was extremely helpful and gave great recommendations for food shopping and let us leave our bags after check out,gave great recommendations for food shopping,recommendations,great,Loyalty,Positive,0.9769
122,110,diny was extremely helpful and gave great recommendations for food shopping and let us leave our bags after check out,let us leave our bags after check out,,,Service,Neutral,0.7576
123,113,added bonus was meeting the owner who provided us with information on the area by whatsapp,added bonus was meeting the owner who provided us with information on the area by whatsapp,owner,provided,Service,Positive,0.9639
124,114,great stay and will be back,great stay,stay,great,Experience,Positive,0.995
125,114,great stay and will be back,will be back,,will be back,Loyalty,Positive,0.865
126,115,i m not doing anything,i m not doing anything,,not doing anything,Experience,Neutral,0.5844
127,116,happy stay and will come back in the future,happy stay,stay,happy,Experience,Positive,0.9676
128,116,happy stay and will come back in the future,will come back in the future,,will come back,Loyalty,Neutral,0.7738
129,117,the host contacted me a few days before my arrival and meet me at the apartment lobby,the host contacted me a few days before my arrival,host,,Service,Neutral,0.8347
130,117,the host contacted me a few days before my arrival and meet me at the apartment lobby,meet me at the apartment lobby,host,,Service,Neutral,0.7814
131,118,the check in is extremely smooth,the check in is extremely smooth,check in,extremely smooth,Service,Positive,0.9862
132,119,everything is good,everything is good,,good,Experience,Positive,0.9886
133,120,great location beautiful views and excellent host,great location,location,great,Amenity,Positive,0.9776
134,120,great location beautiful views and excellent host,beautiful views,views,beautiful,Experience,Positive,0.9944
135,120,great location beautiful views and excellent host,excellent host,host,excellent,Service,Positive,0.9908
136,122,we really liked the location just outside the bustling city center but with everything accessible within minutes by grab,we really liked the location just outside the bustling city center,location,liked,Amenity,Positive,0.9553
137,122,we really liked the location just outside the bustling city center but with everything accessible within minutes by grab,with everything accessible within minutes by grab,,accessible within minutes,Amenity,Positive,0.9548
138,123,the rooftop pool is truly magical especially in the evenings when the city lights create a spectacular backdrop,the rooftop pool is truly magical,rooftop pool,truly magical,Facility,Positive,0.9785
139,123,the rooftop pool is truly magical especially in the evenings when the city lights create a spectacular backdrop,especially in the evenings when the city lights create a spectacular backdrop,city lights,spectacular,Experience,Positive,0.9507
140,125,among all hosts during our three week vietnam journey his hospitality was unmatched,among all hosts during our three week vietnam journey his hospitality was unmatched,hospitality,unmatched,Service,Positive,0.97
141,126,he told us about all interesting spots and was always available within seconds for any question,he told us about all interesting spots,spots,interesting,Amenity,Positive,0.9738
142,126,he told us about all interesting spots and was always available within seconds for any question,was always available within seconds for any question,,available,Service,Positive,0.9839
143,127,it s no wonder we chose to return for a second stay towards the end of our trip,it s no wonder we chose to return for a second stay towards the end of our trip,,"no wonder, chose to return",Loyalty,Negative,0.4681
144,128,for anyone visiting hcmc we cannot recommend diny s aparthotel highly enough,for anyone visiting hcmc we cannot recommend diny s aparthotel highly enough,aparthotel,highly enough,Loyalty,Positive,0.9684
145,129,a relaxing stay,a relaxing stay,stay,relaxing,Experience,Positive,0.9954
146,130,manager host was very friendly and helpful,manager host was very friendly,manager host,very friendly,Service,Positive,0.9875
147,130,manager host was very friendly and helpful,manager host was very helpful,manager host,very helpful,Service,Positive,0.9773
148,131,the view from the room was great,the view from the room was great,view,great,Experience,Positive,0.986
149,134,i didn t have to apply sunblock because there wasn t much sun in the afternoon,i didn t have to apply sunblock because there wasn t much sun in the afternoon,sun,there wasn t much,Experience,Positive,0.6332
150,136,excellent value for a stay in an upscale neighborhood in the heart of saigon,excellent value for a stay in an upscale neighborhood in the heart of saigon,stay,"excellent value, upscale neighborhood",Amenity,Positive,0.9714
151,138,unbeatable location clean,unbeatable location,location,unbeatable,Amenity,Positive,0.992
152,138,unbeatable location clean,clean,,clean,Facility,Positive,0.9832
153,139,functional rooms that suits my type,functional rooms that suits my type,rooms,suits,Facility,Positive,0.9757
154,141,it was nothing,it was nothing,,nothing,Branding,Negative,0.6409
155,143,nada,nada,,nada,Experience,Negative,0.8895
156,144,perfect place to stay in oh chi minh city,perfect place to stay in oh chi minh city,place,perfect,Branding,Positive,0.9905
157,146,from the moment we arrived till when we left the apartments the owner is very kind and helpful,from the moment we arrived till when we left the apartments the owner is very kind and helpful,owner,"very kind, helpful",Service,Positive,0.9458
158,147,thanks for keeping our luggage till late,thanks for keeping our luggage till late,,keeping our luggage till late,Service,Positive,0.9325
159,148,the apartment is very clean with all the comfort and well equipped,the apartment is very clean,,very clean,Facility,Positive,0.9964
160,148,the apartment is very clean with all the comfort and well equipped,with all the comfort,apartment,with all the comfort,Facility,Positive,0.995
161,148,the apartment is very clean with all the comfort and well equipped,and well equipped,apartment,well equipped,Facility,Positive,0.9942
162,149,the 7 11 on the ground floor is a plus,the 7 11 on the ground floor is a plus,7 11,a plus,Amenity,Positive,0.8159
163,151,place is nice and the owner is great helper,place is nice,place,nice,Branding,Positive,0.9922
164,151,place is nice and the owner is great helper,the owner is great helper,owner,great helper,Service,Positive,0.9874
165,152,safe and quite,safe and quite,,"safe, quite",Amenity,Positive,0.9958
166,153,perfect sport in saigon,perfect sport in saigon,sport,perfect,Amenity,Positive,0.9187
167,155,the host was very helpful and checked in on us during our stay,the host was very helpful,host,very helpful,Service,Positive,0.9881
168,155,the host was very helpful and checked in on us during our stay,checked in on us during our stay,host,,Service,Positive,0.8083
169,156,he was very kind letting us check out late due to a late flight,he was very kind,,very kind,Service,Positive,0.9944
170,156,he was very kind letting us check out late due to a late flight,letting us check out late due to a late flight,flight,late,Amenity,Negative,0.9165
171,157,the facilities at the manor 2 were perfect for a weeks stay,the facilities at the manor 2 were perfect for a weeks stay,facilities,perfect,Facility,Positive,0.9844
172,160,the views however were incredible,the views however were incredible,views,incredible,Experience,Positive,0.9398
173,161,great location with 2 minimarkets close by for essentials,great location,location,great,Amenity,Positive,0.9776
174,161,great location with 2 minimarkets close by for essentials,2 minimarkets close by for essentials,minimarkets,close by,Amenity,Neutral,0.8621
175,162,the photos are exactly how the place looks as well,the photos are exactly how the place looks as well,photos,exactly how the place looks as well,Experience,Positive,0.9885
176,166,rooftop pool is gorgeous and a great place to relax in the morning,rooftop pool is gorgeous,rooftop pool,gorgeous,Facility,Positive,0.9774
177,166,rooftop pool is gorgeous and a great place to relax in the morning,a great place to relax in the morning,place,great,Branding,Positive,0.9911
178,168,the host was extremely kind and accommodating,the host was extremely kind,host,extremely kind,Service,Positive,0.9893
179,168,the host was extremely kind and accommodating,the host was extremely accommodating,host,extremely accommodating,Service,Positive,0.9937
180,169,room is a bit small but fine for two people,room is a bit small,room,small,Facility,Negative,0.9386
181,169,room is a bit small but fine for two people,fine for two people,room,fine,Facility,Neutral,0.5933
182,170,overall it was good value for hcmc,overall it was good value for hcmc,,good value,Amenity,Positive,0.9047
183,171,definitely place to stay,definitely place to stay,place,definitely,Branding,Positive,0.9974
184,172,great hospitality and room was neet and cozy as well,great hospitality,hospitality,great,Service,Positive,0.9931
185,172,great hospitality and room was neet and cozy as well,room was neet and cozy as well,room,"neet, cozy",Facility,Positive,0.998
186,173,very good,very good,,very good,Experience,Positive,0.9977
187,174,the hotel is really nice and clean,the hotel is really nice,hotel,really nice,Branding,Positive,0.993
188,174,the hotel is really nice and clean,the hotel is really clean,hotel,really clean,Facility,Positive,0.9933
189,175,the location is great too,the location is great too,location,great,Amenity,Positive,0.9565
190,177,recommended,recommended,,recommended,Loyalty,Positive,0.9882
191,178,most amazing stay beautiful apartment good acnice,most amazing stay,stay,amazing,Experience,Positive,0.9957
192,178,most amazing stay beautiful apartment good acnice,beautiful apartment,apartment,beautiful,Branding,Positive,0.9934
193,178,most amazing stay beautiful apartment good acnice,good acnice,apartment,good,Branding,Positive,0.9976
194,179,everything,everything,,everything,Experience,Neutral,0.9638
195,182,with,with,,,Experience,Neutral,0.9315
196,185,host is gracious kind and speaks great english unusual in the city,host is gracious kind and speaks great english,host,"gracious, kind, speaks great english",Service,Positive,0.9921
197,185,host is gracious kind and speaks great english unusual in the city,unusual in the city,host,unusual,Service,Positive,0.6892
198,187,calming and classy,calming and classy,,"calming, classy",Service,Positive,0.9948
199,188,beautifully decorated and nice rooftop pool,beautifully decorated and nice rooftop pool,pool,nice,Facility,Positive,0.9968
200,190,it was nothing,it was nothing,,nothing,Branding,Neutral,0.6409
201,191,it s fabulous,it s fabulous,,fabulous,Branding,Positive,0.9978
202,192,the host is extremely friendly and helpful,the host is extremely friendly,host,extremely friendly,Service,Positive,0.9882
203,192,the host is extremely friendly and helpful,the host is extremely helpful,host,extremely helpful,Service,Positive,0.9817
204,193,staying at this apartment was a wonderful experience,staying at this apartment was a wonderful experience,staying at this apartment,wonderful experience,Experience,Positive,0.9963
205,194,the location is good with easy access to restaurants shops and public transportation,the location is good,location,good,Amenity,Positive,0.9895
206,194,the location is good with easy access to restaurants shops and public transportation,easy access to restaurants,access to restaurants,easy,Amenity,Positive,0.979
207,194,the location is good with easy access to restaurants shops and public transportation,easy access to shops,access to shops,easy,Amenity,Positive,0.9869
208,194,the location is good with easy access to restaurants shops and public transportation,easy access to public transportation,access to public transportation,easy,Amenity,Positive,0.9834
209,195,the apartment itself is spacious clean and have everything that you need,the apartment itself is spacious,apartment,spacious,Branding,Positive,0.9963
210,195,the apartment itself is spacious clean and have everything that you need,clean,,clean,Facility,Positive,0.9832
211,195,the apartment itself is spacious clean and have everything that you need,have everything that you need,,have everything,Experience,Positive,0.9734
212,196,we d definitely come back for next time,we d definitely come back for next time,,definitely come back,Loyalty,Positive,0.9825
213,199,new old world saigon,new old world saigon,world,new old,Amenity,Neutral,0.7816
214,201,in some ways it is starting to show its age in general wear and tear but the host here has done a wonderful job of restoring the place,in some ways it is starting to show its age in general wear and tear,,"age, wear and tear",Facility,Negative,0.9752
215,201,in some ways it is starting to show its age in general wear and tear but the host here has done a wonderful job of restoring the place,the host here has done a wonderful job of restoring the place,host,wonderful job,Service,Positive,0.9667
216,204,any problems were immediately remedied by dinh,any problems were immediately remedied by dinh,problems,immediately remedied,Service,Positive,0.9391
217,205,great stay awesome location,great stay,stay,great,Experience,Positive,0.995
218,205,great stay awesome location,awesome location,location,awesome,Amenity,Positive,0.9814
219,207,check in was a breeze,check in was a breeze,check in,breeze,Service,Positive,0.988
220,208,we liked it so much we extended our stay,we liked it so much,,liked,Branding,Positive,0.9931
221,208,we liked it so much we extended our stay,we extended our stay,stay,extended,Experience,Positive,0.8355
222,209,i m not doing anything,i m not doing anything,,not doing anything,Experience,Neutral,0.5844
223,210,it is fantastic value,it is fantastic value,value,fantastic,Amenity,Positive,0.9937
224,211,very good,very good,,very good,Experience,Positive,0.9977
225,212,excellent location amazing view from the rooftop pool close to the city center and right beside a neighbourhood with lots of local street food,excellent location,location,excellent,Amenity,Positive,0.9909
226,212,excellent location amazing view from the rooftop pool close to the city center and right beside a neighbourhood with lots of local street food,amazing view from the rooftop pool,view,amazing,Experience,Positive,0.9898
227,212,excellent location amazing view from the rooftop pool close to the city center and right beside a neighbourhood with lots of local street food,close to the city center,location,close,Amenity,Neutral,0.8167
228,212,excellent location amazing view from the rooftop pool close to the city center and right beside a neighbourhood with lots of local street food,right beside a neighbourhood with lots of local street food,neighbourhood,lots of local street food,Amenity,Positive,0.8116
229,213,the owner was super helpful and friendly and the apartment was perfect,the owner was super helpful and friendly,owner,"super helpful, friendly",Service,Positive,0.9928
230,213,the owner was super helpful and friendly and the apartment was perfect,the apartment was perfect,apartment,perfect,Branding,Positive,0.996
231,214,good for family vacation,good for family vacation,family vacation,good,Experience,Positive,0.9727
232,216,i m not doing anything,i m not doing anything,,not doing anything,Experience,Neutral,0.5844
233,217,great for a short or extended stay in hcmc,great for a short or extended stay in hcmc,short or extended stay,great,Experience,Positive,0.7994
234,219,apartment is well appointed with cooking facilities a washing machine and dryer for an independent stay if you fancy that,apartment is well appointed with cooking facilities,apartment,well appointed,Branding,Positive,0.9937
235,219,apartment is well appointed with cooking facilities a washing machine and dryer for an independent stay if you fancy that,a washing machine and dryer for an independent stay,washing machine and dryer,independent stay,Facility,Neutral,0.7738
236,219,apartment is well appointed with cooking facilities a washing machine and dryer for an independent stay if you fancy that,if you fancy that,independent stay,fancy,Service,Neutral,0.957
